# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1765648904966000000,1765648965480000000,0
writeAction.median.wait.ms,1765648904966000000,1765648965480000000,0
writeAction.count,1765648904966000000,1765648965480000000,2
cacheStateStorage.get.duration,1765648904966000000,1765648965480000000,0
cacheStateStorage.set.counter,1765648904966000000,1765648965480000000,1
cacheStateStorage.set.duration,1765648904966000000,1765648965480000000,24
cacheStateStorage.get.counter,1765648904966000000,1765648965480000000,3
FilePageCache.totalPageLoadsUs,1765648904966000000,1765648965480000000,1151027
FilePageCacheLockFree.totalPageAllocationsWaited,1765648904966000000,1765648965480000000,0
StorageLockContext.competingThreads.90P,1765648904966000000,1765648965480000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalBytesRequested,1765648904966000000,1765648965480000000,0
FilePageCache.disposedBuffers,1765648904966000000,1765648965480000000,3
DirectByteBufferAllocator.hits,1765648904966000000,1765648965480000000,3
StorageLockContext.competingThreads.max,1765648904966000000,1765648965480000000,0
FilePageCache.uncachedFileAccess,1765648904966000000,1765648965480000000,202
StreamlinedBlobStorage.recordsRelocated,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.nativeBytesInUse,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.heapBytesInUse,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalBytesRead,1765648904966000000,1765648965480000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1765648904966000000,1765648965480000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1765648904966000000,1765648965480000000,1478053
DirectByteBufferAllocator.disposed,1765648904966000000,1765648965480000000,0
DirectByteBufferAllocator.reclaimed,1765648904966000000,1765648965480000000,3
